,TP,Ramp_Up_Cons,Ramp_Down_Cons,Branch_Cons,Branch_Group_Cons,GIP/GXP_Group_Cons,Market_Node_Group_Cons,GIP/GXP_Deficit,GXP_Integrity,NI_Fast_Reserve_MW,NIFIR,NI_Sustained_Reserve_MW,NISIR,SI_Fast_Reserve_MW,SIFIR,SI_Sustained_Reserve_MW,SISIR,NI_Fast_Reserve_Deficit,NI_Sustained_Reserve_Deficit,SI_Fast_Reserve_Deficit,SI_Sustained_Reserve_Deficit
2013-08-26 10:15:00,21.0000,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.82,5.270830000000001,0.39280000000000004,6.20216,0.0206,0.16576000000000002,0.0,1.21,0.0003,0.0,0.0,0.0,0.0
2013-08-26 10:20:00,21.0000,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.88,4.24235,0.0799,5.173680000000001,0.0199,0.16576000000000002,0.0,1.21,0.0001,0.0,0.0,0.0,0.0
2013-08-26 10:25:00,21.0000,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.89,4.33903,0.0799,5.270359999999999,0.0203,0.16576000000000002,0.0,1.21,0.0001,0.0,0.0,0.0,0.0
2013-08-26 10:30:00,22.0000,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.84,4.8520199999999996,0.0799,5.5221100000000005,0.0199,0.18914,0.0,1.21,0.0001,0.0,0.0,0.0,0.0
2013-08-26 10:35:00,22.0000,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.83,4.906980000000001,0.08,5.57707,0.0199,0.18914,0.0,1.21,0.0001,0.0,0.0,0.0,0.0
2013-08-26 10:40:00,22.0000,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.82,4.909459999999999,0.0799,5.57955,0.0199,0.18914,0.0,1.21,0.0001,0.0,0.0,0.0,0.0
2013-08-26 10:45:00,22.0000,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.82,5.00185,0.08,5.671939999999999,0.0199,0.18914,0.0,1.21,0.0001,0.0,0.0,0.0,0.0
2013-08-26 10:50:00,22.0000,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.78,5.020569999999999,0.08,5.69066,0.0199,0.18914,0.0,1.21,0.0001,0.0,0.0,0.0,0.0
2013-08-26 10:55:00,22.0000,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.81,4.927490000000001,0.0799,5.597580000000001,0.0199,0.18914,0.0,1.21,0.0001,0.0,0.0,0.0,0.0
2013-08-26 11:00:00,23.0000,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.79,4.92054,0.08,5.589600000000001,0.0199,0.27710999999999997,0.0001,1.21,0.0003,0.0,0.0,0.0,0.0
2013-08-26 11:05:00,23.0000,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.86,4.8750599999999995,0.08,5.5441199999999995,0.0199,0.27710999999999997,0.0001,1.21,0.0003,0.0,0.0,0.0,0.0
2013-08-26 11:10:00,23.0000,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.78,4.93176,0.08,5.60082,0.0199,0.27710999999999997,0.0001,1.21,0.0003,0.0,0.0,0.0,0.0
2013-08-26 11:15:00,23.0000,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.81,4.92861,0.08,5.597669999999999,0.0199,0.27710999999999997,0.0001,1.21,0.0003,0.0,0.0,0.0,0.0
2013-08-26 11:20:00,23.0000,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.79,4.88789,0.08,5.5569500000000005,0.0199,0.27710999999999997,0.0001,1.21,0.0003,0.0,0.0,0.0,0.0
2013-08-26 11:25:00,23.0000,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.81,4.77461,0.08,5.44367,0.0091,0.27710999999999997,0.0001,1.21,0.0003,0.0,0.0,0.0,0.0
2013-08-26 11:30:00,24.0000,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.81,5.212619999999999,0.08,5.63221,0.0199,0.29530999999999996,0.0001,1.21,0.0003,0.0,0.0,0.0,0.0
